Date,daily_search ,daliy_search_scaled,log_daily_search
4-Jan-04,0,0,1.386294361
5-Jan-04,0,0,1.386294361
6-Jan-04,0,0,1.386294361
7-Jan-04,0,4,1.386294361
8-Jan-04,0,4,1.386294361
9-Jan-04,0,4,1.386294361
10-Jan-04,0,4,1.386294361
11-Jan-04,0,5.714285714,1.742969305
12-Jan-04,0,5.714285714,1.742969305
13-Jan-04,0,5.714285714,1.742969305
14-Jan-04,0,5.714285714,1.742969305
15-Jan-04,0,5.714285714,1.742969305
16-Jan-04,0,5.714285714,1.742969305
17-Jan-04,0,5.714285714,1.742969305
18-Jan-04,0,4.428571429,1.488077055
19-Jan-04,0,4.428571429,1.488077055
20-Jan-04,0,4.428571429,1.488077055
21-Jan-04,0,4.428571429,1.488077055
22-Jan-04,0,4.428571429,1.488077055
23-Jan-04,0,4.428571429,1.488077055
24-Jan-04,0,4.428571429,1.488077055
25-Jan-04,0,4.571428571,1.519825754
26-Jan-04,0,4.571428571,1.519825754
27-Jan-04,0,4.571428571,1.519825754
28-Jan-04,0,4.571428571,1.519825754
29-Jan-04,0,4.571428571,1.519825754
30-Jan-04,0,4.571428571,1.519825754
31-Jan-04,0,4.571428571,1.519825754
1-Feb-04,0,5.857142857,1.767661918
2-Feb-04,25,146.4285714,4.986537743
3-Feb-04,29,169.8571429,5.134957748
4-Feb-04,29,169.8571429,5.134957748
5-Feb-04,26,152.2857143,5.025758456
6-Feb-04,24,140.5714286,4.945715748
7-Feb-04,0,5.857142857,1.767661918
8-Feb-04,0,6.428571429,1.860752341
9-Feb-04,22,141.4285714,4.951794794
10-Feb-04,25,160.7142857,5.079628166
11-Feb-04,25,160.7142857,5.079628166
12-Feb-04,46,295.7142857,5.689393737
13-Feb-04,0,6.428571429,1.860752341
14-Feb-04,0,6.428571429,1.860752341
15-Feb-04,0,5.285714286,1.665007764
16-Feb-04,0,5.285714286,1.665007764
17-Feb-04,0,5.285714286,1.665007764
18-Feb-04,30,158.5714286,5.066205145
19-Feb-04,0,5.285714286,1.665007764
20-Feb-04,0,5.285714286,1.665007764
21-Feb-04,0,5.285714286,1.665007764
22-Feb-04,0,7.571428571,2.024381764
23-Feb-04,33,249.8571429,5.520889326
24-Feb-04,34,257.4285714,5.550742289
25-Feb-04,28,212,5.356586275
26-Feb-04,22,166.5714286,5.115424218
27-Feb-04,0,7.571428571,2.024381764
28-Feb-04,0,7.571428571,2.024381764
29-Feb-04,0,6.428571429,1.860752341
1-Mar-04,0,6.428571429,1.860752341
2-Mar-04,23,147.8571429,4.996246557
3-Mar-04,0,6.428571429,1.860752341
4-Mar-04,0,6.428571429,1.860752341
5-Mar-04,0,6.428571429,1.860752341
6-Mar-04,0,6.428571429,1.860752341
7-Mar-04,0,4.142857143,1.421385681
8-Mar-04,0,4.142857143,1.421385681
9-Mar-04,0,4.142857143,1.421385681
10-Mar-04,0,4.142857143,1.421385681
11-Mar-04,0,4.142857143,1.421385681
12-Mar-04,0,4.142857143,1.421385681
13-Mar-04,37,153.2857143,5.032303594
14-Mar-04,0,7,1.945910149
15-Mar-04,42,294,5.683579767
16-Mar-04,0,7,1.945910149
17-Mar-04,23,161,5.081404365
18-Mar-04,33,231,5.442417711
19-Mar-04,0,7,1.945910149
20-Mar-04,0,7,1.945910149
21-Mar-04,0,7.285714286,1.985915484
22-Mar-04,0,7.285714286,1.985915484
23-Mar-04,0,7.285714286,1.985915484
24-Mar-04,0,7.285714286,1.985915484
25-Mar-04,100,728.5714286,6.59108567
26-Mar-04,0,7.285714286,1.985915484
27-Mar-04,0,7.285714286,1.985915484
28-Mar-04,0,7.142857143,1.966112856
29-Mar-04,31,221.4285714,5.400100061
30-Mar-04,29,207.1428571,5.333408686
31-Mar-04,28,200,5.298317367
1-Apr-04,39,278.5714286,5.629674503
2-Apr-04,26,185.7142857,5.224209394
3-Apr-04,0,7.142857143,1.966112856
4-Apr-04,0,5.571428571,1.717651497
5-Apr-04,55,306.4285714,5.724984682
6-Apr-04,54,300.8571429,5.706635544
7-Apr-04,0,5.571428571,1.717651497
8-Apr-04,0,5.571428571,1.717651497
9-Apr-04,0,5.571428571,1.717651497
10-Apr-04,0,5.571428571,1.717651497
11-Apr-04,0,7.857142857,2.061423036
12-Apr-04,0,7.857142857,2.061423036
13-Apr-04,0,7.857142857,2.061423036
14-Apr-04,52,408.5714286,6.012666755
15-Apr-04,51,400.7142857,5.993248669
16-Apr-04,60,471.4285714,6.155767598
17-Apr-04,0,7.857142857,2.061423036
18-Apr-04,100,828.5714286,6.719703047
19-Apr-04,55,455.7142857,6.121866047
20-Apr-04,50,414.2857143,6.026555867
21-Apr-04,69,571.7142857,6.348639366
22-Apr-04,0,8.285714286,2.114532861
23-Apr-04,41,339.7142857,5.828104928
24-Apr-04,0,8.285714286,2.114532861
25-Apr-04,0,8.428571429,2.131627295
26-Apr-04,62,522.5714286,6.25876168
27-Apr-04,63,531,6.274762021
28-Apr-04,41,345.5714286,5.845199362
29-Apr-04,36,303.4285714,5.715146233
30-Apr-04,44,370.8571429,5.915816929
1-May-04,86,724.8571429,6.585974591
2-May-04,89,712,6.568077911
3-May-04,59,472,6.156978986
4-May-04,53,424,6.049733455
5-May-04,67,536,6.284134161
6-May-04,37,296,5.690359454
7-May-04,40,320,5.768320996
8-May-04,0,8,2.079441542
9-May-04,0,7.571428571,2.024381764
10-May-04,50,378.5714286,5.93640477
11-May-04,38,287.7142857,5.661967924
12-May-04,46,348.2857143,5.853023161
13-May-04,52,393.7142857,5.975625483
14-May-04,0,7.571428571,2.024381764
15-May-04,0,7.571428571,2.024381764
16-May-04,0,8.285714286,2.114532861
17-May-04,45,372.8571429,5.921195351
18-May-04,53,439.1428571,6.084824775
19-May-04,63,522,6.257667588
20-May-04,64,530.2857143,6.273415945
21-May-04,59,488.8571429,6.192070305
22-May-04,0,8.285714286,2.114532861
23-May-04,0,7.142857143,1.966112856
24-May-04,35,250,5.521460918
25-May-04,49,350,5.857933154
26-May-04,50,357.1428571,5.878135862
27-May-04,36,257.1428571,5.549631795
28-May-04,0,7.142857143,1.966112856
29-May-04,0,7.142857143,1.966112856
30-May-04,0,5.285714286,1.665007764
31-May-04,0,5.285714286,1.665007764
1-Jun-04,0,5.285714286,1.665007764
2-Jun-04,0,5.285714286,1.665007764
3-Jun-04,0,5.285714286,1.665007764
4-Jun-04,0,5.285714286,1.665007764
5-Jun-04,0,5.285714286,1.665007764
6-Jun-04,0,4,1.386294361
7-Jun-04,0,4,1.386294361
8-Jun-04,0,4,1.386294361
9-Jun-04,0,4,1.386294361
10-Jun-04,0,4,1.386294361
11-Jun-04,0,4,1.386294361
12-Jun-04,0,4,1.386294361
13-Jun-04,0,2,0.693147181
14-Jun-04,0,2,0.693147181
15-Jun-04,37,74,4.304065093
16-Jun-04,0,2,0.693147181
17-Jun-04,0,2,0.693147181
18-Jun-04,0,2,0.693147181
19-Jun-04,0,2,0.693147181
20-Jun-04,0,1.857142857,0.619039208
21-Jun-04,0,1.857142857,0.619039208
22-Jun-04,0,1.857142857,0.619039208
23-Jun-04,0,1.857142857,0.619039208
24-Jun-04,0,1.857142857,0.619039208
25-Jun-04,0,1.857142857,0.619039208
26-Jun-04,0,1.857142857,0.619039208
27-Jun-04,0,2.285714286,0.826678573
28-Jun-04,0,2.285714286,0.826678573
29-Jun-04,0,2.285714286,0.826678573
30-Jun-04,0,2.285714286,0.826678573
1-Jul-04,0,2.285714286,0.826678573
2-Jul-04,0,2.285714286,0.826678573
3-Jul-04,0,2.285714286,0.826678573
4-Jul-04,0,3.142857143,1.145132304
5-Jul-04,0,3.142857143,1.145132304
6-Jul-04,0,3.142857143,1.145132304
7-Jul-04,0,3.142857143,1.145132304
8-Jul-04,0,3.142857143,1.145132304
9-Jul-04,0,3.142857143,1.145132304
10-Jul-04,0,3.142857143,1.145132304
11-Jul-04,0,3.142857143,1.145132304
12-Jul-04,0,3.142857143,1.145132304
13-Jul-04,0,3.142857143,1.145132304
14-Jul-04,0,3.142857143,1.145132304
15-Jul-04,0,3.142857143,1.145132304
16-Jul-04,0,3.142857143,1.145132304
17-Jul-04,0,3.142857143,1.145132304
18-Jul-04,0,2.857142857,1.049822124
19-Jul-04,0,2.857142857,1.049822124
20-Jul-04,0,2.857142857,1.049822124
21-Jul-04,0,2.857142857,1.049822124
22-Jul-04,0,2.857142857,1.049822124
23-Jul-04,0,2.857142857,1.049822124
24-Jul-04,0,2.857142857,1.049822124
25-Jul-04,0,2.428571429,0.887303195
26-Jul-04,0,2.428571429,0.887303195
27-Jul-04,0,2.428571429,0.887303195
28-Jul-04,0,2.428571429,0.887303195
29-Jul-04,0,2.428571429,0.887303195
30-Jul-04,0,2.428571429,0.887303195
31-Jul-04,0,2.428571429,0.887303195
1-Aug-04,0,1.857142857,0.619039208
2-Aug-04,0,1.857142857,0.619039208
3-Aug-04,0,1.857142857,0.619039208
4-Aug-04,0,1.857142857,0.619039208
