Match Date,Stage Name,Country Name
21/06/2002,quarter-finals,Japan
21/06/2002,quarter-finals,South Korea
22/06/2002,quarter-finals,South Korea
22/06/2002,quarter-finals,Japan
25/06/2002,semi-finals,South Korea
26/06/2002,semi-finals,Japan
30/06/2002,final,Japan
30/06/2006,quarter-finals,Germany
30/06/2006,quarter-finals,Germany
01/07/2006,quarter-finals,Germany
01/07/2006,quarter-finals,Germany
04/07/2006,semi-finals,Germany
05/07/2006,semi-finals,Germany
09/07/2006,final,Germany
02/07/2010,quarter-finals,South Africa
02/07/2010,quarter-finals,South Africa
03/07/2010,quarter-finals,South Africa
03/07/2010,quarter-finals,South Africa
06/07/2010,semi-finals,South Africa
07/07/2010,semi-finals,South Africa
11/07/2010,final,South Africa
04/07/2014,quarter-finals,Brazil
04/07/2014,quarter-finals,Brazil
05/07/2014,quarter-finals,Brazil
05/07/2014,quarter-finals,Brazil
08/07/2014,semi-finals,Brazil
09/07/2014,semi-finals,Brazil
13/07/2014,final,Brazil
06/07/2018,quarter-finals,Russia
06/07/2018,quarter-finals,Russia
07/07/2018,quarter-finals,Russia
07/07/2018,quarter-finals,Russia
10/07/2018,semi-finals,Russia
11/07/2018,semi-finals,Russia
15/07/2018,final,Russia
09/12/2022,quarter-finals,Qatar
09/12/2022,quarter-finals,Qatar
10/12/2022,quarter-finals,Qatar
10/12/2022,quarter-finals,Qatar
13/12/2022,semi-finals,Qatar
14/12/2022,semi-finals,Qatar
18/12/2022,final,Qatar
