,date,Disaster Type,ISO,Total Deaths
321,2011-01-31,Storm,USA,39.0
322,2011-03-12,Road,USA,14.0
323,2011-04-14,Storm,USA,46.0
325,2011-04-22,Storm,USA,354.0
327,2011-05-20,Storm,USA,176.0
328,2011-05-24,Storm,USA,11.0
330,2011-07-19,Extreme temperature,USA,22.0
331,2011-08-27,Storm,USA,46.0
332,2011-09-04,Wildfire,USA,4.0
335,2011-10-29,Storm,USA,29.0
336,2011-09-04,Storm,USA,15.0
338,2011-01-07,Storm,USA,11.0
339,2011-01-17,Storm,USA,10.0
340,2011-04-03,Storm,USA,9.0
341,2011-04-18,Flood,USA,9.0
347,2012-02-28,Storm,USA,14.0
348,2012-03-02,Storm,USA,41.0
351,2012-06-22,Storm,USA,9.0
353,2012-06-30,Extreme temperature,USA,123.0
357,2012-10-28,Storm,USA,54.0
359,2012-12-25,Storm,USA,17.0
360,2012-06-28,Storm,USA,28.0
372,2013-02-08,Storm,USA,15.0
376,2013-05-18,Storm,USA,29.0
377,2013-05-21,Explosion (Industrial),USA,15.0
379,2013-05-26,Storm,USA,27.0
383,2013-06-28,Wildfire,USA,19.0
390,2013-09-12,Flood,USA,9.0
392,2013-11-16,Storm,USA,11.0
393,2013-11-24,Storm,USA,14.0
397,2013-12-01,Storm,USA,20.0
402,2014-02-02,Storm,USA,9.0
403,2014-01-01,Storm,USA,16.0
404,2014-01-26,Storm,USA,13.0
405,2014-02-11,Storm,USA,25.0
406,2014-03-22,Mass movement (wet),USA,43.0
407,2014-02-28,Storm,USA,12.0
408,2014-04-27,Storm,USA,40.0
417,2014-11-15,Storm,USA,13.0
424,2015-01-06,Storm,USA,15.0
426,2015-02-16,Storm,USA,10.0
427,2015-01-31,Storm,USA,22.0
428,2015-02-16,Storm,USA,30.0
430,2015-03-03,Storm,USA,13.0
434,2015-05-12,Rail,USA,8.0
437,2015-05-24,Flood,USA,16.0
439,2015-05-23,Flood,USA,32.0
446,2015-08-13,Wildfire,USA,4.0
447,2015-09-13,Wildfire,USA,4.0
448,2015-09-14,Flood,USA,19.0
449,2015-10-01,Storm,USA,25.0
451,2015-11-25,Storm,USA,18.0
452,2015-12-26,Storm,USA,50.0
453,2015-12-15,Flood,USA,31.0
455,2015-09-09,Wildfire,USA,3.0
457,2016-01-23,Storm,USA,50.0
460,2016-01-14,Air,USA,12.0
461,2016-02-22,Storm,USA,10.0
466,2016-04-16,Flood,USA,9.0
469,2016-04-30,Flood,USA,11.0
470,2016-05-21,Storm,USA,9.0
471,2016-05-27,Flood,USA,15.0
472,2016-06-22,Storm,USA,25.0
475,2016-07-30,Air,USA,16.0
476,2016-08-09,Flood,USA,13.0
481,2016-10-08,Storm,USA,49.0
483,2016-11-01,Wildfire,USA,14.0
484,2016-12-02,Fire (Miscellaneous),USA,36.0
487,2016-12-13,Storm,USA,22.0
491,2017-01-18,Storm,USA,24.0
496,2017-03-13,Storm,USA,11.0
497,2017-04-28,Flood,USA,20.0
502,2017-07-15,Flood,USA,10.0
503,2017-07-10,Air,USA,16.0
505,2017-08-25,Storm,USA,88.0
506,2017-09-10,Storm,USA,97.0
509,2017-06-01,Wildfire,USA,43.0
513,2017-12-31,Storm,USA,22.0
519,2018-01-03,Storm,USA,22.0
520,2018-01-21,Storm,USA,10.0
521,2018-03-01,Storm,USA,9.0
528,2018-07-27,Wildfire,USA,14.0
531,2018-09-12,Storm,USA,53.0
533,2018-10-06,Road,USA,20.0
534,2018-10-10,Storm,USA,49.0
535,2018-06-01,Wildfire,USA,88.0
540,2019-01-11,Storm,USA,13.0
541,2019-01-18,Storm,USA,10.0
542,2019-01-29,Storm,USA,22.0
543,2019-03-03,Storm,USA,28.0
556,2019-08-28,Storm,USA,10.0
558,2019-09-02,Water,USA,67.0
560,2019-10-10,Wildfire,USA,3.0
562,2019-11-27,Storm,USA,10.0
563,2019-12-16,Storm,USA,18.0
564,2020-01-10,Storm,USA,10.0
565,2020-03-02,Storm,USA,25.0
567,2020-04-10,Storm,USA,38.0
573,2020-07-31,Storm,USA,16.0
575,2020-08-27,Storm,USA,33.0
578,2020-08-16,Wildfire,USA,32.0
579,2020-11-08,Storm,USA,12.0
581,2020-11-10,Storm,USA,11.0
