,date,keyword_hits,occurrence_1,occurrence_2,occurrence_3,occurrence_4,occurrence_5,occurrence_6,occurrence_7,occurrence_8,occurrence_9,occurrence_10,occurrence_11,occurrence_12,occurrence_13,occurrence_14,occurrence_15,occurrence_16,occurrence_17,occurrence_18,occurrence_19,occurrence_20,occurrence_21,occurrence_22,occurrence_23,occurrence_24,occurrence_25,occurrence_26,occurrence_27,occurrence_28,occurrence_29,occurrence_30,occurrence_31,occurrence_32,occurrence_33,occurrence_34,occurrence_35,occurrence_36,occurrence_37,occurrence_38,occurrence_39,occurrence_40,occurrence_41,occurrence_42,occurrence_43,occurrence_44,occurrence_45,occurrence_46,occurrence_47
0,2013-04-09,general election,Illinois - CD-2 Special General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2013-04-30,general election,South Carolina - CD-1 Special General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2013-06-04,general election,Missouri - CD-4 Special General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2013-06-11,statewide,Virginia - Statewide Primary Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2013-06-25,general election,Massachusetts - US Senate Special General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2013-11-05,general election,New Jersey - Gubernatorial General Election,NYC Mayor - General Election,Virginia - Gubernatorial General Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2014-11-04,general election,GENERAL ELECTION DAY - NATIONWIDE - ALL 50 STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015-01-03,new congress,"New Congress takes office - Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012-11-06,general election,GENERAL ELECTION DAY - NATIONWIDE - ALL 50 STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2013-01-03,new congress,"New Congress takes office - Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
