Date of event,Highly dense area,Number of death
2000-09-29,1,5
2000-09-30,0,7
2000-09-30,1,4
2000-10-01,0,7
2000-10-01,1,2
2000-10-02,0,8
2000-10-02,1,3
2000-10-03,0,2
2000-10-03,1,4
2000-10-04,0,7
2000-10-04,1,2
2000-10-05,0,1
2000-10-05,1,1
2000-10-06,0,5
2000-10-06,1,6
2000-10-07,1,2
2000-10-08,0,1
2000-10-10,0,1
2000-10-10,1,1
2000-10-11,0,3
2000-10-11,1,1
2000-10-13,0,2
2000-10-16,0,2
2000-10-16,1,1
2000-10-17,1,1
2000-10-19,0,1
2000-10-20,0,10
2000-10-21,0,2
2000-10-21,1,1
2000-10-22,0,2
2000-10-22,1,2
2000-10-23,0,1
2000-10-24,0,1
2000-10-24,1,2
2000-10-27,0,4
2000-10-27,1,1
2000-10-28,1,1
2000-10-29,0,4
2000-10-29,1,2
2000-10-31,0,1
2000-10-31,1,4
2000-11-01,0,3
2000-11-01,1,4
2000-11-02,0,2
2000-11-03,0,3
2000-11-03,1,1
2000-11-05,1,2
2000-11-06,0,1
2000-11-06,1,1
2000-11-07,0,1
2000-11-07,1,1
2000-11-08,0,2
2000-11-08,1,5
2000-11-09,0,3
2000-11-09,1,1
2000-11-10,0,3
2000-11-10,1,3
2000-11-11,0,6
2000-11-11,1,2
2000-11-12,1,1
2000-11-13,0,1
2000-11-13,1,2
2000-11-14,0,1
2000-11-14,1,2
2000-11-15,0,7
2000-11-15,1,3
2000-11-16,0,2
2000-11-17,0,5
2000-11-17,1,2
2000-11-18,1,1
2000-11-19,0,1
2000-11-19,1,1
2000-11-20,1,5
2000-11-21,0,2
2000-11-21,1,4
2000-11-22,1,5
2000-11-23,0,1
2000-11-23,1,2
2000-11-24,0,4
2000-11-24,1,1
2000-11-25,0,3
2000-11-25,1,1
2000-11-26,0,5
2000-11-26,1,1
2000-11-28,1,1
2000-11-30,0,1
2000-11-30,1,2
2000-12-01,0,2
2000-12-01,1,1
2000-12-02,0,1
2000-12-05,0,2
2000-12-05,1,1
2000-12-08,0,7
2000-12-08,1,2
2000-12-10,0,2
2000-12-11,0,1
2000-12-12,0,1
2000-12-13,0,1
2000-12-13,1,4
2000-12-14,0,5
2000-12-15,0,3
2000-12-15,1,1
2000-12-17,1,2
2000-12-19,1,1
2000-12-20,1,4
2000-12-21,0,1
2000-12-22,0,2
2000-12-28,1,1
2000-12-31,0,3
2001-01-01,0,2
2001-01-02,1,1
2001-01-05,1,1
2001-01-06,0,1
2001-01-07,0,1
2001-01-07,1,1
2001-01-08,0,1
2001-01-09,0,1
2001-01-09,1,1
2001-01-12,0,1
2001-01-15,0,1
2001-01-21,1,1
2001-01-24,1,2
2001-01-29,1,2
2001-01-31,1,2
2001-02-02,1,1
2001-02-03,1,1
2001-02-04,1,1
2001-02-09,1,1
2001-02-12,0,2
2001-02-13,1,2
2001-02-14,0,1
2001-02-15,1,1
2001-02-16,0,3
2001-02-19,0,1
2001-02-20,0,1
2001-02-23,0,1
2001-02-25,0,1
2001-02-26,0,1
2001-02-27,0,1
2001-03-02,0,2
2001-03-02,1,2
2001-03-03,0,3
2001-03-04,0,1
2001-03-09,1,1
2001-03-12,0,1
2001-03-14,0,2
2001-03-14,1,1
2001-03-16,1,1
2001-03-21,1,1
2001-03-24,0,1
2001-03-28,0,2
2001-03-28,1,1
2001-03-29,1,2
2001-03-30,0,6
2001-04-02,1,1
2001-04-05,0,1
2001-04-05,1,1
2001-04-06,1,1
2001-04-07,1,1
2001-04-08,0,1
2001-04-10,0,2
2001-04-10,1,3
2001-04-12,0,1
