Date of event,number of death
2000-09-29,1
2000-10-01,1
2000-10-02,2
2000-10-07,1
2000-10-12,2
2000-10-19,1
2000-10-27,1
2000-10-28,1
2000-10-30,1
2000-11-01,3
2000-11-02,2
2000-11-08,1
2000-11-10,1
2000-11-13,4
2000-11-18,2
2000-11-20,2
2000-11-21,1
2000-11-22,2
2000-11-23,2
2000-11-24,2
2000-12-08,3
2000-12-21,1
2000-12-28,2
2000-12-31,2
2001-01-14,1
2001-01-17,1
2001-01-23,2
2001-01-25,1
2001-01-29,1
2001-02-01,2
2001-02-05,1
2001-02-11,1
2001-02-14,8
2001-02-15,1
2001-03-01,1
2001-03-04,3
2001-03-19,1
2001-03-26,1
2001-03-28,2
2001-04-01,2
2001-04-02,1
2001-04-21,1
2001-04-22,1
2001-04-28,2
2001-05-01,1
2001-05-08,1
2001-05-09,2
2001-05-15,1
2001-05-18,6
2001-05-23,1
2001-05-25,1
2001-05-29,3
2001-05-31,1
2001-06-01,19
2001-06-05,1
2001-06-09,1
2001-06-14,1
2001-06-18,2
2001-06-20,1
2001-06-22,2
2001-06-28,1
2001-07-02,2
2001-07-04,1
2001-07-08,1
2001-07-13,2
2001-07-16,2
2001-07-24,1
2001-07-26,1
2001-08-05,1
2001-08-07,1
2001-08-09,14
2001-08-25,6
2001-08-26,1
2001-08-27,1
2001-08-29,1
2001-08-30,1
2001-09-09,5
2001-09-11,2
2001-09-12,1
2001-09-15,1
2001-09-16,1
2001-09-20,1
2001-09-24,1
2001-09-26,1
2001-10-02,2
2001-10-04,3
2001-10-05,1
2001-10-07,1
2001-10-17,1
2001-10-18,1
2001-10-28,5
2001-11-02,1
2001-11-04,2
2001-11-06,1
2001-11-09,1
2001-11-11,1
2001-11-24,1
2001-11-27,3
2001-11-29,4
2001-12-01,11
2001-12-02,15
2001-12-12,10
2002-01-09,4
2002-01-14,1
2002-01-15,2
2002-01-17,6
2002-01-22,2
2002-01-27,1
2002-02-06,3
2002-02-08,1
2002-02-09,1
2002-02-10,2
2002-02-14,3
2002-02-16,3
2002-02-18,4
2002-02-19,6
2002-02-22,1
2002-02-25,3
2002-02-27,1
2002-02-28,1
2002-03-01,1
2002-03-02,12
2002-03-03,11
2002-03-05,5
2002-03-06,1
2002-03-07,5
2002-03-08,1
2002-03-09,12
2002-03-10,1
2002-03-12,1
2002-03-13,1
2002-03-14,3
2002-03-17,1
2002-03-19,1
2002-03-20,7
2002-03-21,3
2002-03-24,2
2002-03-27,27
2002-03-28,4
2002-03-29,6
2002-03-30,2
2002-03-31,15
2002-04-01,2
2002-04-03,1
2002-04-04,4
2002-04-05,3
2002-04-06,1
2002-04-08,2
2002-04-09,14
2002-04-10,8
2002-04-12,5
2002-04-20,1
2002-04-22,1
2002-04-27,4
2002-05-03,1
2002-05-07,15
2002-05-12,1
2002-05-19,3
2002-05-22,2
2002-05-24,1
2002-05-27,2
2002-05-28,4
2002-06-05,17
2002-06-06,1
2002-06-08,3
2002-06-11,1
2002-06-15,3
2002-06-18,19
2002-06-19,8
2002-06-20,5
2002-07-10,1
2002-07-16,9
2002-07-17,3
2002-07-25,1
2002-07-26,4
2002-07-30,2
2002-07-31,5
2002-08-01,1
2002-08-04,8
2002-08-05,2
2002-08-10,1
2002-08-20,1
2002-09-05,2
2002-09-18,3
2002-09-19,5
2002-09-23,1
2002-09-26,1
2002-09-30,1
2002-10-08,1
2002-10-10,1
2002-10-21,13
2002-10-22,1
2002-10-27,3
2002-10-29,3
2002-11-04,2
2002-11-06,2
2002-11-09,1
2002-11-10,5
2002-11-15,12
2002-11-18,1
2002-11-21,10
2002-11-22,1
2002-11-28,6
2002-12-12,2
2002-12-20,1
2002-12-27,4
2003-01-02,1
2003-01-05,15
2003-01-12,2
2003-01-17,1
2003-01-23,3
2003-02-06,2
2003-02-11,1
2003-02-15,4
2003-02-23,1
2003-03-05,17
2003-03-07,2
2003-03-10,1
2003-03-12,1
2003-03-18,1
2003-03-19,1
2003-04-10,2
2003-04-15,2
2003-04-20,1
2003-04-24,1
2003-05-05,1
2003-05-11,1
2003-05-17,2
2003-05-18,6
2003-05-19,3
2003-06-08,5
2003-06-11,16
2003-06-12,1
2003-06-13,1
2003-06-17,1
2003-06-19,1
2003-06-20,1
2003-06-26,1
2003-06-27,1
2003-07-07,1
2003-07-15,1
2003-08-08,1
2003-08-12,3
2003-08-19,20
2003-08-29,1
2003-09-04,1
2003-09-05,1
2003-09-09,16
2003-09-25,3
2003-10-04,21
2003-10-19,3
2003-10-24,3
2003-11-18,2
2003-11-22,2
2003-12-22,2
2003-12-25,4
2004-01-13,1
2004-01-14,4
2004-01-29,10
2004-02-22,8
2004-02-26,1
2004-02-27,2
2004-03-14,10
2004-03-19,1
2004-04-03,1
2004-04-17,1
2004-04-25,1
2004-05-02,5
2004-05-11,6
2004-05-12,5
2004-05-14,2
2004-05-29,1
2004-06-28,3
2004-06-29,1
2004-07-04,1
2004-07-06,1
2004-07-11,1
2004-08-13,1
2004-08-31,16
2004-09-22,2
2004-09-23,3
2004-09-24,1
2004-09-29,2
2004-09-30,3
2004-10-19,1
2004-10-21,1
2004-10-28,1
2004-11-01,3
2004-12-07,1
2004-12-12,5
2004-12-21,1
2004-12-22,1
2005-01-02,2
2005-01-07,2
2005-01-12,1
2005-01-13,6
2005-01-15,1
2005-01-18,1
2005-02-25,5
2005-05-02,1
2005-06-19,1
2005-06-20,1
2005-06-24,2
2005-07-12,5
2005-07-14,1
2005-07-24,2
2005-09-21,1
2005-10-16,3
2005-10-26,7
2005-11-01,1
2005-12-05,5
2005-12-08,1
2005-12-16,1
2005-12-29,1
2006-02-05,1
2006-03-01,1
2006-03-30,4
2006-04-17,7
2006-06-25,3
2006-07-17,1
2006-07-27,1
2006-08-19,1
2006-09-12,1
2006-11-01,1
2006-11-15,1
2006-11-21,1
2007-01-29,3
2007-02-25,1
2007-05-21,1
2007-05-27,1
2007-07-12,1
2007-09-18,1
2007-10-17,1
2007-10-29,1
2007-11-19,1
2007-12-28,2
2008-01-24,1
2008-02-04,1
2008-02-27,1
2008-03-01,2
2008-03-06,10
2008-04-09,3
2008-04-16,3
2008-04-25,2
2008-05-09,1
2008-05-12,1
2008-06-05,1
2008-07-02,3
2008-07-12,1
2008-10-23,1
2008-12-27,1
2008-12-29,3
2009-01-04,1
2009-01-06,1
2009-01-08,3
2009-01-27,1
2009-04-02,1
2009-05-10,1
2009-12-24,1
2010-02-10,1
2010-02-24,1
2010-03-26,2
2010-06-14,1
2010-08-31,4
2011-03-11,5
2011-03-23,1
2011-04-07,1
2011-04-24,1
2011-08-20,1
2011-09-23,2
2011-10-29,1
2012-06-01,1
2012-11-15,3
2012-11-20,2
2012-11-21,1
2013-04-30,1
2013-09-20,1
2013-09-22,1
2013-10-10,1
2013-11-13,1
2013-12-24,1
2014-04-14,1
2014-06-12,3
2014-07-15,1
2014-07-19,5
2014-07-20,13
2014-07-21,9
2014-07-22,3
2014-07-23,4
2014-07-24,1
2014-07-25,6
2014-07-26,1
2014-07-28,10
2014-07-30,3
2014-07-31,5
2014-08-01,3
2014-08-04,1
2014-08-22,2
2014-08-26,2
2014-10-22,2
2014-11-05,2
2014-11-10,2
2014-11-18,5
2015-04-15,1
2015-06-19,1
2015-06-29,1
2015-09-13,1
2015-10-01,2
2015-10-03,2
2015-10-13,4
2015-10-20,1
2015-11-04,1
2015-11-13,2
2015-11-19,3
2015-11-22,1
2015-11-23,1
2015-12-07,1
2015-12-23,1
2016-01-17,1
2016-01-25,1
2016-02-03,1
2016-02-18,1
2016-06-08,3
2016-06-30,1
2016-07-01,1
2016-10-09,2
2017-01-08,4
2017-04-06,1
2017-05-28,1
2017-06-16,1
2017-07-21,3
2017-09-26,3
2017-10-04,1
2018-01-09,1
2018-03-16,2
2018-05-24,1
2018-07-20,1
2018-07-26,1
2018-09-16,1
2018-10-07,2
2018-11-12,1
2018-12-09,1
2018-12-13,2
2019-01-10,2
2019-02-07,1
2019-03-17,2
2019-05-05,4
2019-08-08,1
2019-08-23,1
2020-05-12,1
2020-08-26,1
2020-12-20,1
