Date of event,Light vs Heavy Weapons
2020-12-21,Light
2020-12-04,Light
2020-11-25,Light
2020-11-04,Light
2020-10-05,Light
2020-08-19,Light
2020-08-17,Light
2020-07-09,Light
2020-06-23,Light
2020-05-30,Light
2020-05-29,Light
2020-05-14,Light
2020-05-13,Light
2020-04-22,Light
2020-03-22,Light
2020-03-11,Light
2020-02-22,Light
2020-02-07,Light
2020-02-06,Light
2020-02-05,Light
2020-01-21,Light
2019-12-17,Heavy
2019-11-30,Light
2019-11-29,Light
2019-11-17,Light
2019-11-14,Heavy
2019-11-13,Heavy
2019-11-12,Heavy
2019-11-11,Light
2019-11-02,Heavy
2019-10-18,Light
2019-10-04,Light
2019-09-27,Light
2019-09-18,Light
2019-09-06,Light
2019-08-30,Light
2019-08-16,Light
2019-08-15,Light
2019-08-11,Light
2019-08-10,Light
2019-08-01,Light
2019-07-26,Light
2019-07-11,Light
2019-06-27,Light
2019-05-31,Light
2019-05-10,Light
2019-05-06,Light
2019-05-05,Heavy
2019-05-04,Heavy
2019-05-03,Light+Heavy
2019-04-20,Light
2019-04-12,Light
2019-04-03,Light
2019-04-02,Light
2019-03-30,Light+Heavy
2019-03-27,Light
2019-03-23,Light
2019-03-22,Light
2019-03-20,Light
2019-03-19,Light
2019-03-12,Light
2019-03-10,Light
2019-03-08,Light
2019-03-06,Light
2019-03-04,Light
2019-03-01,Light
2019-02-22,Light
2019-02-08,Light
2019-02-04,Light
2019-01-30,Light
2019-01-29,Light
2019-01-25,Light
2019-01-22,Heavy
2019-01-21,Light
2019-01-18,Light
2019-01-11,Light
2018-12-28,Light
2018-12-21,Light
2018-12-20,Light
2018-12-14,Light
2018-12-13,Light
2018-12-12,Light
2018-12-11,Light
2018-12-07,Light
2018-12-04,Light
2018-11-26,Light
2018-11-14,Light
2018-11-13,Heavy
2018-11-12,Heavy
2018-11-11,Light
2018-11-09,Light
2018-11-08,Light
2018-11-03,Light
2018-10-29,Light
2018-10-28,Heavy
2018-10-26,Light
2018-10-24,Light
2018-10-23,Light
2018-10-22,Light
2018-10-19,Light
2018-10-17,Heavy
2018-10-15,Light
2018-10-12,Light
2018-10-05,Light
2018-10-03,Light
2018-09-28,Light
2018-09-24,Light
2018-09-23,Light
2018-09-21,Light
2018-09-19,Light
2018-09-18,Light
2018-09-17,Heavy
2018-09-14,Light
2018-09-09,Light
2018-09-07,Light
2018-09-03,Light
2018-08-17,Light
2018-08-10,Light
2018-08-09,Heavy
2018-08-07,Heavy
2018-08-03,Light
2018-07-27,Light
2018-07-25,Heavy
2018-07-23,Light
2018-07-20,Light+Heavy
2018-07-19,Heavy
2018-07-14,Heavy
2018-07-13,Light
2018-07-06,Light
2018-07-02,Light
2018-06-29,Light
2018-06-28,Heavy
2018-06-22,Light
2018-06-18,Heavy
2018-06-08,Light
2018-06-06,Light
2018-06-04,Light
2018-06-02,Light
2018-06-01,Light
2018-05-30,Light
2018-05-28,Heavy
2018-05-27,Heavy
2018-05-18,Light
2018-05-15,Light
2018-05-14,Light
2018-05-11,Light
2018-05-06,Light
2018-04-29,Light
2018-04-27,Light
2018-04-20,Light
2018-04-13,Light
2018-04-12,Light+Heavy
2018-04-06,Light
2018-04-05,Heavy
2018-04-03,Light
2018-04-02,Light
2018-04-01,Light
2018-03-30,Light+Heavy
2018-03-18,Light
2018-03-10,Light
2018-03-09,Light
2018-03-03,Light
2018-02-22,Light
2018-02-16,Light
2018-02-06,Light
2018-02-03,Light
2018-01-30,Light
2018-01-17,Light
2018-01-15,Light
2018-01-11,Light
2018-01-03,Light
2017-12-29,Light
2017-12-22,Light
2017-12-17,Light
