Date of event,number of death
2000-09-29,5
2000-09-30,11
2000-10-01,9
2000-10-02,11
2000-10-03,6
2000-10-04,9
2000-10-05,2
2000-10-06,11
2000-10-07,2
2000-10-08,1
2000-10-10,2
2000-10-11,4
2000-10-13,2
2000-10-16,3
2000-10-17,1
2000-10-19,1
2000-10-20,10
2000-10-21,3
2000-10-22,4
2000-10-23,1
2000-10-24,3
2000-10-27,5
2000-10-28,1
2000-10-29,6
2000-10-31,5
2000-11-01,7
2000-11-02,2
2000-11-03,4
2000-11-05,2
2000-11-06,2
2000-11-07,2
2000-11-08,7
2000-11-09,4
2000-11-10,6
2000-11-11,8
2000-11-12,1
2000-11-13,3
2000-11-14,3
2000-11-15,10
2000-11-16,2
2000-11-17,7
2000-11-18,1
2000-11-19,2
2000-11-20,5
2000-11-21,6
2000-11-22,5
2000-11-23,3
2000-11-24,5
2000-11-25,4
2000-11-26,6
2000-11-28,1
2000-11-30,3
2000-12-01,3
2000-12-02,1
2000-12-05,3
2000-12-08,9
2000-12-10,2
2000-12-11,1
2000-12-12,1
2000-12-13,5
2000-12-14,5
2000-12-15,4
2000-12-17,2
2000-12-19,1
2000-12-20,4
2000-12-21,1
2000-12-22,2
2000-12-28,1
2000-12-31,3
2001-01-01,2
2001-01-02,1
2001-01-05,1
2001-01-06,1
2001-01-07,2
2001-01-08,1
2001-01-09,2
2001-01-12,1
2001-01-15,1
2001-01-21,1
2001-01-24,2
2001-01-29,2
2001-01-31,2
2001-02-02,1
2001-02-03,1
2001-02-04,1
2001-02-09,1
2001-02-12,2
2001-02-13,2
2001-02-14,1
2001-02-15,1
2001-02-16,3
2001-02-19,1
2001-02-20,1
2001-02-23,1
2001-02-25,1
2001-02-26,1
2001-02-27,1
2001-03-02,4
2001-03-03,3
2001-03-04,1
2001-03-09,1
2001-03-12,1
2001-03-14,3
2001-03-16,1
2001-03-21,1
2001-03-24,1
2001-03-28,3
2001-03-29,2
2001-03-30,6
2001-04-02,1
2001-04-05,2
2001-04-06,1
2001-04-07,1
2001-04-08,1
2001-04-10,5
2001-04-12,1
2001-04-16,2
2001-04-17,3
2001-04-18,1
2001-04-23,1
2001-04-24,2
2001-04-26,1
2001-04-30,1
2001-05-01,1
2001-05-02,1
2001-05-04,1
2001-05-05,1
2001-05-06,2
2001-05-07,1
2001-05-11,1
2001-05-12,3
2001-05-13,7
2001-05-14,1
2001-05-15,4
2001-05-16,1
2001-05-18,13
2001-05-20,3
2001-05-21,2
2001-05-24,2
2001-05-29,1
2001-05-31,1
2001-06-04,1
2001-06-08,1
2001-06-09,3
2001-06-14,1
2001-06-17,2
2001-06-20,1
2001-06-22,1
2001-06-25,1
2001-06-29,1
2001-07-01,5
2001-07-07,2
2001-07-11,1
2001-07-12,1
2001-07-13,2
2001-07-17,4
2001-07-21,2
2001-07-23,1
2001-07-25,1
2001-07-31,10
2001-08-01,1
2001-08-02,1
2001-08-05,3
2001-08-10,2
2001-08-12,1
2001-08-13,1
2001-08-15,1
2001-08-17,1
2001-08-19,3
2001-08-22,6
2001-08-23,1
2001-08-24,2
2001-08-26,2
2001-08-27,1
2001-08-28,2
2001-08-29,4
2001-08-30,3
2001-08-31,1
2001-09-03,2
2001-09-06,2
2001-09-08,2
2001-09-09,1
2001-09-11,3
2001-09-12,9
2001-09-13,6
2001-09-14,4
2001-09-15,2
2001-09-16,2
2001-09-17,4
2001-09-20,2
2001-09-21,1
2001-09-26,5
2001-09-27,2
2001-09-28,6
2001-09-29,3
2001-09-30,3
2001-10-02,2
2001-10-03,6
2001-10-04,1
2001-10-05,5
2001-10-06,2
2001-10-07,2
2001-10-08,5
2001-10-11,1
2001-10-14,1
2001-10-15,1
2001-10-16,1
2001-10-18,6
2001-10-19,8
2001-10-20,10
2001-10-21,6
2001-10-22,3
2001-10-23,8
2001-10-24,5
2001-10-25,4
2001-10-26,3
2001-10-27,1
2001-10-28,2
2001-10-31,6
2001-11-01,2
2001-11-02,1
2001-11-04,1
2001-11-06,3
2001-11-07,1
2001-11-08,3
2001-11-09,1
2001-11-12,2
2001-11-13,1
2001-11-14,2
2001-11-17,1
2001-11-18,2
2001-11-19,1
2001-11-22,5
2001-11-23,5
2001-11-25,1
2001-11-27,3
2001-11-28,2
2001-11-29,2
2001-12-01,2
2001-12-02,8
2001-12-03,1
2001-12-04,2
2001-12-06,1
2001-12-07,2
2001-12-08,1
2001-12-09,6
2001-12-10,2
2001-12-11,2
2001-12-12,6
2001-12-13,5
2001-12-14,8
2001-12-15,5
2001-12-17,4
2001-12-20,2
2001-12-26,1
2001-12-28,1
2001-12-30,6
2002-01-04,1
2002-01-09,2
2002-01-14,1
2002-01-17,3
2002-01-18,2
2002-01-19,1
2002-01-21,2
2002-01-22,5
2002-01-24,1
2002-01-25,5
2002-01-26,1
2002-01-28,1
2002-01-31,3
2002-02-03,1
2002-02-04,5
2002-02-06,2
2002-02-08,1
2002-02-10,2
2002-02-12,1
2002-02-13,7
2002-02-15,5
2002-02-16,2
2002-02-17,2
2002-02-18,3
2002-02-19,5
2002-02-20,18
2002-02-21,9
2002-02-23,1
2002-02-25,2
2002-02-26,1
2002-02-27,1
2002-02-28,16
2002-03-01,12
2002-03-02,3
2002-03-03,6
2002-03-04,16
2002-03-05,8
2002-03-06,10
2002-03-07,28
2002-03-08,30
2002-03-09,6
2002-03-10,4
2002-03-11,7
2002-03-12,26
2002-03-13,4
2002-03-14,9
2002-03-15,4
2002-03-16,3
2002-03-17,3
2002-03-18,3
2002-03-19,7
2002-03-21,1
2002-03-22,3
2002-03-23,5
2002-03-24,5
2002-03-25,1
2002-03-27,2
2002-03-28,2
2002-03-29,15
2002-03-30,8
2002-03-31,7
2002-04-01,45
2002-04-02,12
2002-04-03,12
2002-04-04,62
2002-04-05,9
2002-04-06,15
2002-04-07,2
2002-04-08,5
2002-04-09,6
2002-04-10,5
2002-04-11,6
2002-04-12,4
2002-04-13,1
2002-04-14,1
2002-04-15,5
2002-04-16,2
2002-04-17,3
2002-04-18,2
2002-04-19,4
2002-04-20,2
2002-04-22,8
2002-04-23,3
2002-04-24,4
2002-04-25,2
2002-04-26,5
2002-04-27,2
2002-04-28,1
2002-04-29,11
2002-04-30,5
2002-05-01,4
2002-05-02,1
2002-05-03,1
2002-05-04,3
2002-05-05,8
2002-05-07,4
2002-05-10,1
2002-05-13,2
2002-05-14,2
2002-05-16,3
2002-05-18,1
2002-05-22,6
2002-05-23,1
2002-05-25,2
2002-05-26,2
2002-05-28,1
2002-05-29,1
2002-05-30,1
2002-05-31,1
2002-06-01,1
2002-06-02,1
2002-06-04,1
2002-06-05,1
2002-06-06,1
2002-06-07,3
2002-06-08,2
2002-06-09,1
2002-06-10,2
2002-06-11,6
