date,avg_uncorrected_pressure,avg_corrected_pressure
01/01/2000,1.20833,1.20833
02/01/2000,0.85,1.0625
03/01/2000,0.80833,0.8642
04/01/2000,0.86667,1.02559
05/01/2000,1.2,1.25692
06/01/2000,0.95417,0.99429
07/01/2000,0.74,0.7958
08/01/2000,0.80417,0.80417
09/01/2000,0.73333,1.00148
10/01/2000,0.78667,0.85443
11/01/2000,0.64722,0.64722
12/01/2000,0.82917,0.84548
13/01/2000,1,1.12624
14/01/2000,1.17222,1.19636
15/01/2000,0.6619,0.6619
16/01/2000,0.65833,0.71873
17/01/2000,0.525,0.5695
18/01/2000,0.63095,0.64745
19/01/2000,0.71667,0.72847
20/01/2000,0.7375,0.76705
21/01/2000,1.21667,1.21667
22/01/2000,1.4,1.4
23/01/2000,1.1,1.26621
24/01/2000,1.475,1.475
25/01/2000,1.29444,1.29444
26/01/2000,0.64167,0.64167
27/01/2000,1.32222,1.36615
28/01/2000,0.69167,0.69167
29/01/2000,1.15,1.15
30/01/2000,0.83944,0.89882
31/01/2000,1.44167,1.44167
01/03/2000,0.66389,0.67278
02/03/2000,0.72,0.75022
03/03/2000,0.8625,0.86658
04/03/2000,0.93278,0.93278
05/03/2000,0.78333,0.89569
06/03/2000,0.87333,0.88292
07/03/2000,1.39167,1.39167
08/03/2000,1.0125,1.06378
09/03/2000,0.72333,0.83882
10/03/2000,0.63,0.63
11/03/2000,0.57857,0.60952
12/03/2000,0.84444,0.94815
13/03/2000,0.73333,0.73333
14/03/2000,0.58333,0.58954
15/03/2000,0.83667,0.84639
16/03/2000,0.95556,0.99748
17/03/2000,0.6,0.6
18/03/2000,0.91667,0.91667
19/03/2000,0.975,1.06464
20/03/2000,0.79583,0.94667
21/03/2000,0.83333,1.07517
22/03/2000,0.6375,1.01792
23/03/2000,0.62917,0.87425
24/03/2000,0.775,0.84053
25/03/2000,0.98333,1.00693
26/03/2000,1.19167,1.28593
27/03/2000,1.00556,1.13327
28/03/2000,0.8375,0.93523
29/03/2000,0.76667,0.76667
30/03/2000,1.45556,1.52018
31/03/2000,1.12778,1.12778
01/04/2000,1.07222,1.07222
02/04/2000,0.93333,1.07556
03/04/2000,1.23333,1.23333
04/04/2000,1.5,1.5
05/04/2000,1.18889,1.18889
06/04/2000,1.34444,1.34444
07/04/2000,1.21667,1.21667
08/04/2000,1.23333,1.3214
09/04/2000,1.225,1.225
10/04/2000,1.22222,1.30839
11/04/2000,0.96111,0.99869
12/04/2000,1.25556,1.25556
13/04/2000,1.36111,1.37713
14/04/2000,1.21111,1.28392
15/04/2000,1.2,1.21135
16/04/2000,1.15,1.15
17/04/2000,1.25,1.27312
18/04/2000,1.01667,1.04487
19/04/2000,1.37778,1.37778
20/04/2000,1.21667,1.24744
21/04/2000,1.16667,1.16667
22/04/2000,2.05,2.05
23/04/2000,1.43333,1.53423
24/04/2000,1.30556,1.30556
25/04/2000,1,1.00908
26/04/2000,0.89444,0.90126
