date,avg_uncorrected_pressure,avg_corrected_pressure,total_daily_conflict_duration
2000-01-01,1.20833,1.20833,0.0
2000-01-02,0.85,1.0625,230.0
2000-01-03,0.80833,0.8642,320.0
2000-01-04,0.86667,1.02559,410.0
2000-01-05,1.2,1.25692,160.0
2000-01-06,0.95417,0.99429,160.0
2000-01-07,0.74,0.7958,260.0
2000-01-08,0.80417,0.80417,0.0
2000-01-09,0.73333,1.00148,670.0
2000-01-10,0.78667,0.85443,230.0
2000-01-11,0.64722,0.64722,0.0
2000-01-12,0.82917,0.84548,70.0
2000-01-13,1.0,1.12624,410.0
2000-01-14,1.17222,1.19636,80.0
2000-01-15,0.6619,0.6619,0.0
2000-01-16,0.65833,0.71873,300.0
2000-01-17,0.525,0.5695,400.0
2000-01-18,0.63095,0.64745,140.0
2000-01-19,0.71667,0.72847,90.0
2000-01-20,0.7375,0.76705,160.0
2000-01-21,1.21667,1.21667,0.0
2000-01-22,1.4,1.4,0.0
2000-01-23,1.1,1.26621,310.0
2000-01-24,1.475,1.475,0.0
2000-01-25,1.29444,1.29444,0.0
2000-01-26,0.64167,0.64167,0.0
2000-01-27,1.32222,1.36615,90.0
2000-01-28,0.69167,0.69167,0.0
2000-01-29,1.15,1.15,0.0
2000-01-30,0.83944,0.89882,210.0
2000-01-31,1.44167,1.44167,0.0
2000-03-01,0.66389,0.67278,50.0
2000-03-02,0.72,0.75022,120.0
2000-03-03,0.8625,0.86658,20.0
2000-03-04,0.93278,0.93278,0.0
2000-03-05,0.78333,0.89569,360.0
2000-03-06,0.87333,0.88292,40.0
2000-03-07,1.39167,1.39167,0.0
2000-03-08,1.0125,1.06378,160.0
2000-03-09,0.72333,0.83882,480.0
2000-03-10,0.63,0.63,0.0
2000-03-11,0.57857,0.60952,300.0
2000-03-12,0.84444,0.94815,240.0
2000-03-13,0.73333,0.73333,0.0
2000-03-14,0.58333,0.58954,30.0
2000-03-15,0.83667,0.84639,30.0
2000-03-16,0.95556,0.99748,160.0
2000-03-17,0.6,0.6,0.0
2000-03-18,0.91667,0.91667,0.0
2000-03-19,0.975,1.06464,310.0
2000-03-20,0.79583,0.94667,530.0
2000-03-21,0.83333,1.07517,720.0
2000-03-22,0.6375,1.01792,1240.0
2000-03-23,0.62917,0.87425,770.0
2000-03-24,0.775,0.84053,280.0
2000-03-25,0.98333,1.00693,30.0
2000-03-26,1.19167,1.28593,200.0
2000-03-27,1.00556,1.13327,360.0
2000-03-28,0.8375,0.93523,280.0
2000-03-29,0.76667,0.76667,0.0
2000-03-30,1.45556,1.52018,130.0
