date,avg_uncorrected_pressure,total_daily_conflict_duration,conflict_dummy,avg_corrected_pressure
2000-01-01,1.20833,0.0,0,1.20833
2000-01-02,0.85,230.0,1,1.0625
2000-01-03,0.80833,320.0,1,0.8642
2000-01-04,0.86667,410.0,1,1.02559
2000-01-05,1.2,160.0,1,1.25692
2000-01-06,0.95417,160.0,1,0.99429
2000-01-07,0.74,260.0,1,0.7958
2000-01-08,0.80417,0.0,0,0.80417
2000-01-09,0.73333,670.0,1,1.00148
2000-01-10,0.78667,230.0,1,0.85443
2000-01-11,0.64722,0.0,0,0.64722
2000-01-12,0.82917,70.0,1,0.84548
2000-01-13,1.0,410.0,1,1.12624
2000-01-14,1.17222,80.0,1,1.19636
2000-01-15,0.6619,0.0,0,0.6619
2000-01-16,0.65833,300.0,1,0.71873
2000-01-17,0.525,400.0,1,0.5695
2000-01-18,0.63095,140.0,1,0.64745
2000-01-19,0.71667,90.0,1,0.72847
2000-01-20,0.7375,160.0,1,0.76705
2000-01-21,1.21667,0.0,0,1.21667
2000-01-22,1.4,0.0,0,1.4
2000-01-23,1.1,310.0,1,1.26621
2000-01-24,1.475,0.0,0,1.475
2000-01-25,1.29444,0.0,0,1.29444
2000-01-26,0.64167,0.0,0,0.64167
2000-01-27,1.32222,90.0,1,1.36615
2000-01-28,0.69167,0.0,0,0.69167
2000-01-29,1.15,0.0,0,1.15
2000-01-30,0.83944,210.0,1,0.89882
2000-01-31,1.44167,0.0,0,1.44167
2000-03-01,0.66389,50.0,1,0.67278
2000-03-02,0.72,120.0,1,0.75022
2000-03-03,0.8625,20.0,1,0.86658
2000-03-04,0.93278,0.0,0,0.93278
2000-03-05,0.78333,360.0,1,0.89569
2000-03-06,0.87333,40.0,1,0.88292
2000-03-07,1.39167,0.0,0,1.39167
2000-03-08,1.0125,160.0,1,1.06378
2000-03-09,0.72333,480.0,1,0.83882
2000-03-10,0.63,0.0,0,0.63
2000-03-11,0.57857,300.0,1,0.60952
2000-03-12,0.84444,240.0,1,0.94815
2000-03-13,0.73333,0.0,0,0.73333
2000-03-14,0.58333,30.0,1,0.58954
2000-03-15,0.83667,30.0,1,0.84639
2000-03-16,0.95556,160.0,1,0.99748
2000-03-17,0.6,0.0,0,0.6
2000-03-18,0.91667,0.0,0,0.91667
2000-03-19,0.975,310.0,1,1.06464
2000-03-20,0.79583,530.0,1,0.94667
2000-03-21,0.83333,720.0,1,1.07517
2000-03-22,0.6375,1240.0,1,1.01792
2000-03-23,0.62917,770.0,1,0.87425
2000-03-24,0.775,280.0,1,0.84053
2000-03-25,0.98333,30.0,1,1.00693
2000-03-26,1.19167,200.0,1,1.28593
2000-03-27,1.00556,360.0,1,1.13327
2000-03-28,0.8375,280.0,1,0.93523
2000-03-29,0.76667,0.0,0,0.76667
2000-03-30,1.45556,130.0,1,1.52018
2000-03-31,1.12778,0.0,0,1.12778
2000-04-01,1.07222,0.0,0,1.07222
2000-04-02,0.93333,160.0,1,1.07556
2000-04-03,1.23333,0.0,0,1.23333
2000-04-04,1.5,0.0,0,1.5
2000-04-05,1.18889,0.0,0,1.18889
2000-04-06,1.34444,0.0,0,1.34444
2000-04-07,1.21667,0.0,0,1.21667
2000-04-08,1.23333,240.0,1,1.3214
2000-04-09,1.225,0.0,0,1.225
2000-04-10,1.22222,190.0,1,1.30839
2000-04-11,0.96111,150.0,1,0.99869
2000-04-12,1.25556,0.0,0,1.25556
2000-04-13,1.36111,40.0,1,1.37713
2000-04-14,1.21111,160.0,1,1.28392
2000-04-15,1.2,30.0,1,1.21135
2000-04-16,1.15,0.0,0,1.15
2000-04-17,1.25,60.0,1,1.27312
2000-04-18,1.01667,110.0,1,1.04487
2000-04-19,1.37778,0.0,0,1.37778
2000-04-20,1.21667,90.0,1,1.24744
2000-04-21,1.16667,0.0,0,1.16667
2000-04-22,2.05,0.0,0,2.05
2000-04-23,1.43333,140.0,1,1.53423
2000-04-24,1.30556,0.0,0,1.30556
2000-04-25,1.0,30.0,1,1.00908
2000-04-26,0.89444,30.0,1,0.90126
