date,avg_uncorrected_pressure,total_daily_conflict_duration_minutes,conflict_dummy,avg_corrected_pressure
2000-01-01,1.0,0.0,0,1.0
2000-01-02,1.01667,0.0,0,1.01667
2000-01-03,0.98333,0.0,0,0.98333
2000-01-04,1.05,0.3333333333333333,1,1.05514
2000-01-05,1.07222,0.0,0,1.07222
2000-01-06,1.02222,0.0,0,1.02222
2000-01-07,0.97222,0.0,0,0.97222
2000-01-08,1.03333,0.0,0,1.03333
2000-01-09,1.05,4.666666666666667,1,1.26
2000-01-10,1.21667,0.0,0,1.21667
2000-01-11,0.98333,0.0,0,0.98333
2000-01-12,0.98333,0.0,0,0.98333
2000-01-13,1.05556,0.0,0,1.05556
2000-01-14,1.08333,0.0,0,1.08333
2000-01-15,1.10833,0.0,0,1.10833
2000-01-16,0.96667,0.0,0,0.96667
2000-01-17,0.93333,0.0,0,0.93333
2000-01-18,1.01667,0.0,0,1.01667
2000-01-19,0.95556,0.0,0,0.95556
2000-01-20,0.95,0.0,0,0.95
2000-01-21,1.16111,0.0,0,1.16111
2000-01-22,1.11667,0.0,0,1.11667
2000-01-23,0.79444,0.0,0,0.79444
2000-01-24,1.38333,0.0,0,1.38333
2000-01-25,1.12778,0.0,0,1.12778
2000-01-26,0.97222,0.0,0,0.97222
2000-01-27,1.12222,0.0,0,1.12222
2000-01-28,1.03889,0.0,0,1.03889
2000-01-30,1.36833,0.0,0,1.36833
2000-01-31,1.33889,0.0,0,1.33889
2000-03-01,1.00556,0.0,0,1.00556
2000-03-02,0.97222,0.0,0,0.97222
2000-03-03,1.11667,0.0,0,1.11667
2000-03-04,1.04833,0.0,0,1.04833
2000-03-05,0.94167,0.0,0,0.94167
2000-03-06,1.28333,0.0,0,1.28333
2000-03-07,1.27778,0.0,0,1.27778
2000-03-08,1.27778,0.0,0,1.27778
2000-03-09,0.99444,0.0,0,0.99444
2000-03-10,0.96111,0.0,0,0.96111
2000-03-11,1.06667,0.0,0,1.06667
2000-03-12,0.7,4.0,1,0.81667
2000-03-13,1.12778,0.0,0,1.12778
2000-03-14,1.04444,0.0,0,1.04444
2000-03-15,1.11667,0.0,0,1.11667
2000-03-16,0.95556,0.0,0,0.95556
2000-03-17,0.96111,0.0,0,0.96111
2000-03-18,0.73333,0.0,0,0.73333
2000-03-19,0.95,1.6666666666666667,1,0.98586
2000-03-20,0.90556,2.5,1,0.9424
2000-03-21,0.87778,10.666666666666666,1,1.0006
2000-03-22,0.72778,22.666666666666668,1,1.00082
2000-03-23,1.06111,0.0,0,1.06111
2000-03-24,0.87778,4.333333333333333,1,0.9277
2000-03-26,0.78333,0.0,0,0.78333
2000-03-27,1.07222,0.0,0,1.07222
2000-03-28,1.02222,0.0,0,1.02222
2000-03-29,1.05,0.0,0,1.05
2000-03-30,1.29444,0.0,0,1.29444
2000-03-31,1.06111,0.0,0,1.06111
2000-04-01,0.95833,0.0,0,0.95833
2000-04-03,1.18889,0.0,0,1.18889
2000-04-04,1.09583,0.0,0,1.09583
2000-04-05,1.13333,0.0,0,1.13333
2000-04-06,1.3,0.0,0,1.3
2000-04-07,1.11667,0.0,0,1.11667
2000-04-08,1.225,1.8333333333333333,1,1.26426
2000-04-09,1.08333,0.0,0,1.08333
2000-04-10,1.1,0.0,0,1.1
2000-04-11,1.08889,0.0,0,1.08889
2000-04-12,1.18889,0.0,0,1.18889
2000-04-13,1.41667,0.0,0,1.41667
2000-04-14,1.25556,0.0,0,1.25556
2000-04-15,1.10556,0.0,0,1.10556
2000-04-16,1.2,0.0,0,1.2
2000-04-17,1.19444,0.0,0,1.19444
2000-04-18,1.02222,0.0,0,1.02222
2000-04-19,1.24444,0.0,0,1.24444
2000-04-20,1.31667,0.0,0,1.31667
2000-04-21,1.12222,0.0,0,1.12222
2000-04-22,1.51667,0.0,0,1.51667
2000-04-23,1.23333,0.0,0,1.23333
2000-04-24,1.30556,0.0,0,1.30556
2000-04-25,0.95556,0.0,0,0.95556
2000-04-26,0.95,0.0,0,0.95
2000-04-27,1.06667,0.0,0,1.06667
2000-04-28,1.07778,0.0,0,1.07778
2000-04-29,1.03333,0.0,0,1.03333
2000-04-30,0.98333,0.0,0,0.98333
2000-05-01,1.03889,0.0,0,1.03889
2000-05-02,0.96111,0.0,0,0.96111
2000-05-03,1.05,0.0,0,1.05
2000-05-04,1.18889,0.0,0,1.18889
2000-05-05,1.12778,0.0,0,1.12778
2000-05-06,1.03333,0.0,0,1.03333
2000-05-07,1.0,0.0,0,1.0
2000-05-08,1.03333,0.3333333333333333,1,1.03701
2000-05-09,0.99444,0.0,0,0.99444
2000-05-10,0.98333,0.0,0,0.98333
2000-05-11,1.36667,0.0,0,1.36667
2000-05-12,1.23333,0.0,0,1.23333
2000-05-13,0.98333,0.0,0,0.98333
2000-05-14,0.9,0.0,0,0.9
2000-05-15,0.96667,1.3333333333333333,1,0.98354
2000-05-16,1.15,2.5,1,1.18657
2000-05-17,0.7625,0.0,0,0.7625
2000-05-18,1.35,0.0,0,1.35
