date,dow,month,year,monthyear,daily_woi,daily_woi_c_med,daily_woi_nc,daily_woi_long,interpolated_news,lagdaily_woi,lagdaily_woi2,lagdaily_woi3,lagdaily_woi4,lagdaily_woi5,lagdaily_woi6,lagdaily_woi7,leaddaily_woi,leaddaily_woi2,leaddaily_woi3,leaddaily_woi4,leaddaily_woi5,leaddaily_woi6,leaddaily_woi7,lagdaily_woi_nc,lagdaily_woi2_nc,lagdaily_woi3_nc,lagdaily_woi4_nc,lagdaily_woi5_nc,lagdaily_woi6_nc,lagdaily_woi7_nc,leaddaily_woi_nc,leaddaily_woi2_nc,leaddaily_woi3_nc,leaddaily_woi4_nc,leaddaily_woi5_nc,leaddaily_woi6_nc,leaddaily_woi7_nc,lagdaily_woi_long,lagdaily_woi2_long,lagdaily_woi3_long,lagdaily_woi4_long,lagdaily_woi5_long,lagdaily_woi6_long,lagdaily_woi7_long,leaddaily_woi_long,lagdaily_woi_c_med,lagdaily_woi2_c_med,lagdaily_woi3_c_med,lagdaily_woi4_c_med,lagdaily_woi5_c_med,lagdaily_woi6_c_med,lagdaily_woi7_c_med,leaddaily_woi_c_med,victims_isr,victims_pal,occurrence,occurrence_pal,lnvic,lnvic_pal,occurrence_1,occurrence_2_7,occurrence_8_14,occurrence_pal_1,occurrence_pal_2_7,occurrence_pal_8_14,occurrence_t_y,occurrence_pal_t_y,lnvic_t_y,lnvic_pal_y,occurrence_target,victims_target,attacks_target,gaza_war,post_intifada,high_intensity,victims_non_target,occurrence_non_target,any_conflict_news,num_conflict_news,length_conflict_news,length_conflict_news_t_t_1,jhol1,jhol2,jhol3,jhol4,jhol5,jhol6,jhol7,jhol8,jhol9,jhol10,jhol11,jhol12,jhol13,jhol14,jhol15,jhol16,jhol17,mhol1,mhol2,mhol3,mhol4,mhol5,mhol6,mhol7,mhol8,conflict_searches,general_election,congress_start_session,state_of_the_union,main_national_conventions,special_congressional_elections,statewide_elections,gubernatorial_elections,presidential_inauguration,state_primary,presidential_caucuses,special_senate_elections,super_tuesday,iowa_caucuses,nh_presidential_primary,other_presidential_primaries,other_presidential_caucuses,olympics,worldcup,eurocup,worldseries,marchmadness,nbafinals,other_sport_events,major_events,lead_maj_events,lead_disaster,lead_killed_1000,fatal_victims,non_fatal_victims,occurrence_all,occurrence_fatal,occurrence_non_fatal,victims_hpd,occurrence_hpd,victims_lpd,occurrence_lpd,victims_hw,victims_nhw,occurrence_hw,occurrence_nhw,attacks_fatal,attacks_hpd,attacks_hw,barak,sharon,olmert,netanyahu,clinton,bush,obama,us_president_party,p_process,p_talks
2000-09-29,Friday,9.0,2000.0,488.0,0.85,0.85,0.85,1.0666667,0.0,,,,,,,,0.71533334,0.881793,0.9569024,0.75,1.13,0.91730773,0.851,,,,,,,,0.6166667,0.675,0.76666665,0.73333335,0.9833333,0.9,0.76666665,,,,,,,,1.0439999,,,,,,,,0.71533334,4.0,1.0,1.0,1.0,1.609438,0.6931472,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,0.0,0.0
2000-09-30,Saturday,9.0,2000.0,488.0,0.71533334,0.71533334,0.6166667,1.0439999,0.0,0.85,,,,,,,0.881793,0.9569024,0.75,1.13,0.91730773,0.851,1.1841667,0.85,,,,,,,0.675,0.76666665,0.73333335,0.9833333,0.9,0.76666665,0.8166667,1.0666667,,,,,,,1.282759,0.85,,,,,,,0.88983315,11.0,0.0,1.0,0.0,2.4849067,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.7725887,0.6931472,0.0,0.0,3.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,2.6666667,1.3333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,0.0,0.0
2000-10-01,Sunday,10.0,2000.0,489.0,0.881793,0.88983315,0.675,1.282759,0.0,0.71533334,0.85,,,,,,0.9569024,0.75,1.13,0.91730773,0.851,1.1841667,1.0329167,0.6166667,0.85,,,,,,0.76666665,0.73333335,0.9833333,0.9,0.76666665,0.8166667,0.53333336,1.0439999,1.0666667,,,,,,1.356751,0.71533334,0.85,,,,,,0.96128476,9.0,1.0,1.0,1.0,2.3025851,0.6931472,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0445225,0.6931472,0.0,0.0,3.0,0.0,0.0,1.0,9.0,1.0,1.0,3.0,9.0,5.8333335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,0.0,0.0
2000-10-02,Monday,10.0,2000.0,489.0,0.9569024,0.96128476,0.76666665,1.356751,0.0,0.881793,0.71533334,0.85,,,,,0.75,1.13,0.91730773,0.851,1.1841667,1.0329167,0.80990994,0.675,0.6166667,0.85,,,,,0.73333335,0.9833333,0.9,0.76666665,0.8166667,0.53333336,0.51666665,1.282759,1.0439999,1.0666667,,,,,1.1017921,0.88983315,0.71533334,0.85,,,,,0.75,12.0,2.0,1.0,1.0,2.5649493,1.0986123,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0910425,1.3862944,0.0,0.0,3.0,0.0,0.0,1.0,12.0,1.0,1.0,3.0,10.833333,9.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,0.0,0.0
2000-10-03,Tuesday,10.0,2000.0,489.0,0.75,0.75,0.73333335,1.1017921,0.0,0.9569024,0.881793,0.71533334,0.85,,,,1.13,0.91730773,0.851,1.1841667,1.0329167,0.80990994,0.6877192,0.76666665,0.675,0.6166667,0.85,,,,0.9833333,0.9,0.76666665,0.8166667,0.53333336,0.51666665,0.5833334,1.356751,1.282759,1.0439999,1.0666667,,,,1.4473684,0.96128476,0.88983315,0.71533334,0.85,,,,1.129373,6.0,0.0,1.0,0.0,1.9459101,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.944439,1.0986123,0.0,0.0,3.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,4.3333335,7.5833335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,0.0,0.0
2000-10-04,Wednesday,10.0,2000.0,489.0,1.13,1.129373,0.9833333,1.4473684,0.0,0.75,0.9569024,0.881793,0.71533334,0.85,,,0.91730773,0.851,1.1841667,1.0329167,0.80990994,0.6877192,0.904875,0.73333335,0.76666665,0.675,0.6166667,0.85,,,0.9,0.76666665,0.8166667,0.53333336,0.51666665,0.5833334,0.8083333,1.1017921,1.356751,1.282759,1.0439999,1.0666667,,,1.3166667,0.75,0.96128476,0.88983315,0.71533334,0.85,,,0.91635525,9.0,0.0,1.0,0.0,2.3025851,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7725887,0.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,1.0,1.0,3.0,6.0,5.1666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,1.0,0.0
2000-10-05,Thursday,10.0,2000.0,489.0,0.91730773,0.91635525,0.9,1.3166667,0.0,1.13,0.75,0.9569024,0.881793,0.71533334,0.85,,0.851,1.1841667,1.0329167,0.80990994,0.6877192,0.904875,1.0452055,0.9833333,0.73333335,0.76666665,0.675,0.6166667,0.85,,0.76666665,0.8166667,0.53333336,0.51666665,0.5833334,0.8083333,0.68333334,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.0666667,,1.1470001,1.129373,0.75,0.96128476,0.88983315,0.71533334,0.85,,0.84934646,2.0,0.0,1.0,0.0,1.0986123,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.4849067,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,1.0,0.0
2000-10-06,Friday,10.0,2000.0,489.0,0.851,0.84934646,0.76666665,1.1470001,0.0,0.91730773,1.13,0.75,0.9569024,0.881793,0.71533334,0.85,1.1841667,1.0329167,0.80990994,0.6877192,0.904875,1.0452055,1.1180723,0.9,0.9833333,0.73333335,0.76666665,0.675,0.6166667,0.85,0.8166667,0.53333336,0.51666665,0.5833334,0.8083333,0.68333334,0.76666665,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.0666667,1.2566667,0.91635525,1.129373,0.75,0.96128476,0.88983315,0.71533334,0.85,1.1841667,10.0,0.0,1.0,0.0,2.3978953,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5649493,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,1.0,1.0,3.0,5.6666665,4.3333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,1.0,0.0
2000-10-07,Saturday,10.0,2000.0,489.0,1.1841667,1.1841667,0.8166667,1.2566667,0.0,0.851,0.91730773,1.13,0.75,0.9569024,0.881793,0.71533334,1.0329167,0.80990994,0.6877192,0.904875,1.0452055,1.1180723,0.71310866,0.76666665,0.9,0.9833333,0.73333335,0.76666665,0.675,0.6166667,0.53333336,0.51666665,0.5833334,0.8083333,0.68333334,0.76666665,0.53333336,1.1470001,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.0439999,1.2383333,0.84934646,0.91635525,1.129373,0.75,0.96128476,0.88983315,0.71533334,0.8441987,3.0,1.0,1.0,1.0,1.3862944,0.6931472,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.6390574,0.6931472,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,6.0,5.8333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,1.0,0.0
2000-10-08,Sunday,10.0,2000.0,489.0,1.0329167,0.8441987,0.53333336,1.2383333,0.0,1.1841667,0.851,0.91730773,1.13,0.75,0.9569024,0.881793,0.80990994,0.6877192,0.904875,1.0452055,1.1180723,0.71310866,1.1417832,0.8166667,0.76666665,0.9,0.9833333,0.73333335,0.76666665,0.675,0.51666665,0.5833334,0.8083333,0.68333334,0.76666665,0.53333336,0.68333334,1.2566667,1.1470001,1.3166667,1.4473684,1.1017921,1.356751,1.282759,1.4919913,1.1841667,0.84934646,0.91635525,1.129373,0.75,0.96128476,0.88983315,0.82230043,1.0,0.0,1.0,0.0,0.6931472,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.609438,0.6931472,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,13.666667,9.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,democrat,1.0,0.0
