date,daily_wod_nc,daily_wod,length_disasters_news,interpolated_news,any_disaster_news,disaster_onset,ln_victims_disaster,year,month,dow,monthyear,daily_wod_nc_nk,daily_wod_nk,any_disaster_news_nk,disaster_onset_nk,ln_victims_disaster_nk,length_disasters_news_nk
2000-09-28,0.71666664,0.71666664,0.0,0.0,0.0,0.0,0.0,2000.0,Sep,Thursday,2000-09-01,0.71666664,0.71666664,0.0,0.0,0.0,0.0
2000-09-29,0.85,0.85,0.0,0.0,0.0,0.0,0.0,2000.0,Sep,Friday,2000-09-01,0.85,0.85,0.0,0.0,0.0,0.0
2000-09-30,0.8666667,0.8666667,0.0,0.0,0.0,0.0,0.0,2000.0,Sep,Saturday,2000-09-01,0.8666667,0.8666667,0.0,0.0,0.0,0.0
2000-10-01,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Sunday,2000-10-01,0.8,0.8,0.0,0.0,0.0,0.0
2000-10-02,1.0166667,1.0166667,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Monday,2000-10-01,1.0166667,1.0166667,0.0,0.0,0.0,0.0
2000-10-03,0.8,0.8,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Tuesday,2000-10-01,0.8,0.8,0.0,0.0,0.0,0.0
2000-10-04,0.93333334,0.93333334,0.03888889,0.0,1.0,1.0,1.0986123,2000.0,Oct,Wednesday,2000-10-01,0.93333334,0.93333334,1.0,1.0,1.0986123,0.03888889
2000-10-05,0.9166667,0.9166667,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Thursday,2000-10-01,0.9166667,0.9166667,0.0,0.0,0.0,0.0
2000-10-06,0.68333334,0.6851852,0.016666668,0.0,1.0,0.0,0.0,2000.0,Oct,Friday,2000-10-01,0.68333334,0.6851852,1.0,0.0,0.0,0.016666668
2000-10-07,1.15,1.15,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Saturday,2000-10-01,1.15,1.15,0.0,0.0,0.0,0.0
2000-10-08,0.90833336,0.90833336,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Sunday,2000-10-01,0.90833336,0.90833336,0.0,0.0,0.0,0.0
2000-10-09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Monday,2000-10-01,1.0,1.0,0.0,0.0,0.0,0.0
2000-10-10,0.8333333,0.8333333,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Tuesday,2000-10-01,0.8333333,0.8333333,0.0,0.0,0.0,0.0
2000-10-11,0.7916667,0.7916667,0.0,0.0,0.0,0.0,0.0,2000.0,Oct,Wednesday,2000-10-01,0.7916667,0.7916667,0.0,0.0,0.0,0.0
